,date,counts,year,month,day,data_quality,max_temp_°c,max_temp_flag,min_temp_°c,min_temp_flag,mean_temp_°c,mean_temp_flag,heat_deg_days_°c,heat_deg_days_flag,cool_deg_days_°c,cool_deg_days_flag,total_rain_mm,total_rain_flag,total_snow_cm,total_snow_flag,total_precip,total_precip_flag,snow_on_grnd_cm,snow_on_grnd_flag,dir_of_max_gust_10s_deg,dir_of_max_gust_flag,spd_of_max_gust_km/h,spd_of_max_gust_flag
0,2014-01-01,0,2014,1,1,,-8.4,,-14.5,,-11.5,,29.5,,0.0,,,M,,M,0.0,,8.0,,,M,,M
1,2014-01-02,1,2014,1,2,,-14.3,,-19.2,,-16.8,,34.8,,0.0,,,M,,M,2.0,,8.0,,,M,,M
2,2014-01-03,1,2014,1,3,,-7.1,,-22.3,,-14.7,,32.7,,0.0,,,M,,M,0.2,,9.0,,,M,,M
3,2014-01-04,0,2014,1,4,,0.3,,-7.2,,-3.5,,21.5,,0.0,,,M,,M,0.0,,9.0,,,M,,M
4,2014-01-05,0,2014,1,5,,1.4,,-1.7,,-0.2,,18.2,,0.0,,,M,,M,11.8,,11.0,,,M,,M
5,2014-01-06,42,2014,1,6,,2.4,,-15.8,,-6.7,,24.7,,0.0,,,M,,M,6.4,,12.0,,,M,,M
6,2014-01-07,4,2014,1,7,,-15.8,,-22.2,,-19.0,,37.0,,0.0,,,M,,M,0.4,,12.0,,,M,,M
7,2014-01-08,4,2014,1,8,,-7.7,,-16.2,,-12.0,,30.0,,0.0,,,M,,M,0.0,,13.0,,,M,,M
8,2014-01-09,12,2014,1,9,,-2.9,,-11.8,,-7.4,,25.4,,0.0,,,M,,M,0.0,,13.0,,,M,,M
9,2014-01-10,129,2014,1,10,,4.1,,-4.0,,0.1,,17.9,,0.0,,,M,,M,2.0,,13.0,,,M,,M
10,2014-01-11,278,2014,1,11,,7.3,,2.9,,5.1,,12.9,,0.0,,,M,,M,9.6,,11.0,,,M,,M
11,2014-01-12,52,2014,1,12,,3.4,,1.3,,2.4,,15.6,,0.0,,,M,,M,0.0,,8.0,,,M,,M
